date,avg_temp
2/1/1970,26.277
3/1/1970,26.459
4/1/1970,26.373
5/1/1970,26.445
6/1/1970,26.15
7/1/1970,25.559
8/1/1970,25.629
9/1/1970,26.013
10/1/1970,26.149
11/1/1970,26.055
12/1/1970,25.57
1/1/1971,25.525
2/1/1971,25.569
3/1/1971,25.86
4/1/1971,26.048
5/1/1971,26.285
6/1/1971,25.679
7/1/1971,25.524
8/1/1971,25.566
9/1/1971,26.006
10/1/1971,25.953
11/1/1971,25.806
12/1/1971,25.694
1/1/1972,25.448
2/1/1972,25.977
3/1/1972,25.912
4/1/1972,25.96
5/1/1972,26.188
6/1/1972,25.926
7/1/1972,25.921
8/1/1972,25.92
9/1/1972,26.021
10/1/1972,26.33
11/1/1972,26.716
12/1/1972,26.424
1/1/1973,26.233
2/1/1973,26.543
3/1/1973,26.372
4/1/1973,26.477
5/1/1973,26.416
6/1/1973,26.4
7/1/1973,25.983
8/1/1973,25.992
9/1/1973,26.031
10/1/1973,26.298
11/1/1973,26.249
12/1/1973,25.668
1/1/1974,25.532
2/1/1974,25.588
3/1/1974,25.932
4/1/1974,26.066
5/1/1974,26.352
6/1/1974,25.852
7/1/1974,25.471
8/1/1974,25.913
9/1/1974,25.986
10/1/1974,26.099
11/1/1974,26.223
12/1/1974,25.751
1/1/1975,25.823
2/1/1975,25.854
3/1/1975,25.979
4/1/1975,26.266
5/1/1975,26.245
6/1/1975,25.864
7/1/1975,25.509
8/1/1975,25.947
9/1/1975,25.913
10/1/1975,25.915
11/1/1975,25.873
12/1/1975,25.594
1/1/1976,25.154
2/1/1976,25.539
3/1/1976,25.747
4/1/1976,25.964
5/1/1976,26.286
6/1/1976,25.663
7/1/1976,25.44
8/1/1976,25.567
9/1/1976,26.136
10/1/1976,25.864
11/1/1976,26.117
12/1/1976,25.893
1/1/1977,25.742
2/1/1977,25.443
3/1/1977,25.879
4/1/1977,26.119
5/1/1977,26.19
6/1/1977,25.714
7/1/1977,25.61
8/1/1977,25.41
9/1/1977,26.139
10/1/1977,26.142
11/1/1977,26.426
12/1/1977,26.016
1/1/1978,25.802
2/1/1978,25.971
3/1/1978,26.201
4/1/1978,26.102
5/1/1978,26.534
6/1/1978,25.992
7/1/1978,25.693
8/1/1978,26.092
9/1/1978,25.752
10/1/1978,25.841
11/1/1978,26.095
12/1/1978,25.746
1/1/1979,25.898
2/1/1979,26.081
3/1/1979,26.136
4/1/1979,26.263
5/1/1979,26.592
6/1/1979,26.082
7/1/1979,25.536
8/1/1979,26.046
9/1/1979,26.02
10/1/1979,26.172
11/1/1979,26.136
12/1/1979,25.758
1/1/1980,25.748
2/1/1980,25.904
3/1/1980,26.037
4/1/1980,26.241
5/1/1980,26.579
6/1/1980,26.102
7/1/1980,25.973
8/1/1980,25.691
9/1/1980,26.14
10/1/1980,26.096
11/1/1980,26.068
12/1/1980,25.784
1/1/1981,25.55
2/1/1981,25.832
3/1/1981,26.204
4/1/1981,26.053
5/1/1981,26.457
6/1/1981,26.219
7/1/1981,25.877
8/1/1981,26.325
9/1/1981,25.892
10/1/1981,26.081
11/1/1981,26.141
12/1/1981,25.74
1/1/1982,25.637
2/1/1982,25.85
3/1/1982,25.933
4/1/1982,26.131
5/1/1982,26.302
6/1/1982,25.933
7/1/1982,25.588
8/1/1982,25.503
9/1/1982,25.86
10/1/1982,25.916
11/1/1982,26.338
12/1/1982,26.31
1/1/1983,26.146
2/1/1983,26.484
3/1/1983,26.959
4/1/1983,26.742
5/1/1983,26.463
6/1/1983,26.213
7/1/1983,25.751
8/1/1983,25.966
9/1/1983,26.086
10/1/1983,26.13
11/1/1983,26.175
12/1/1983,25.745
1/1/1984,25.597
2/1/1984,25.509
3/1/1984,25.911
4/1/1984,25.91
5/1/1984,25.968
6/1/1984,25.766
7/1/1984,25.339
8/1/1984,25.761
9/1/1984,25.583
10/1/1984,25.973
11/1/1984,26.177
12/1/1984,25.785
1/1/1985,25.863
2/1/1985,26.206
3/1/1985,26.211
4/1/1985,26.146
5/1/1985,26.436
6/1/1985,26.001
7/1/1985,25.221
8/1/1985,25.802
9/1/1985,25.795
10/1/1985,26.066
11/1/1985,26.127
12/1/1985,26.055
1/1/1986,25.736
2/1/1986,25.778
3/1/1986,25.823
4/1/1986,26.087
5/1/1986,26.675
6/1/1986,26.253
7/1/1986,25.913
8/1/1986,26.102
9/1/1986,26.117
10/1/1986,26.04
11/1/1986,26.07
12/1/1986,26.092
1/1/1987,25.681
2/1/1987,25.874
3/1/1987,26.433
4/1/1987,26.408
5/1/1987,26.624
6/1/1987,26.761
7/1/1987,26.262
8/1/1987,26.199
9/1/1987,26.561
10/1/1987,26.712
11/1/1987,26.664
12/1/1987,26.241
1/1/1988,26.31
2/1/1988,26.307
3/1/1988,26.623
4/1/1988,26.67
5/1/1988,26.785
